model,false_positive_rate,true_positive_rate,threshold
Regressão Logística,0.08218064580945379,0.22196707651464503,0.5961529645571642
Regressão Logística,0.08286107013850516,0.223514099222613,0.5953813222933952
Regressão Logística,0.08354149446755654,0.22494162330804485,0.5945765173729735
Regressão Logística,0.08419451915919646,0.22623350030843564,0.5938674608179071
Regressão Logística,0.0848612436695421,0.22781604963391436,0.5930445754838927
Regressão Logística,0.0856147336983574,0.22917252048432468,0.5922366953897504
Regressão Logística,0.08633625748352597,0.23060650395475846,0.5914252494949738
Regressão Logística,0.0870623478749298,0.2321309188152196,0.590560034044766
Regressão Logística,0.08780213808503934,0.2333808098130977,0.5898621593423385
Regressão Logística,0.08852366187020792,0.23485677928604418,0.5890769120260917
Regressão Logística,0.08922691923043552,0.2362003313664506,0.5882790529161661
Regressão Logística,0.0899073435594869,0.23739854728431306,0.5876395866337912
Regressão Logística,0.09066540019453742,0.23881638229224195,0.5868513783678695
Regressão Logística,0.09140975701088222,0.24027297361018257,0.5860920794151571
Regressão Logística,0.09221804631452044,0.2417295649281232,0.5853221382292316
Regressão Logística,0.09295326991839474,0.24326043917358628,0.584501531000501
Regressão Logística,0.09374785940332724,0.24457169432898293,0.5837704019051903
Regressão Logística,0.09446481658226057,0.2461187170369509,0.5829676264182329
Regressão Logística,0.09517720715495864,0.24730401418480946,0.5823031298503833
Regressão Logística,0.09585763148401003,0.24864110688021393,0.5816170986707979
Regressão Logística,0.09657002205670812,0.24991360572559887,0.5809346312517029
Regressão Logística,0.09727784602317097,0.2511861045709838,0.5802245915538464
Regressão Logística,0.0979948032021043,0.2527912617439694,0.5793826736985573
Regressão Logística,0.0987300268059786,0.25415419197938166,0.5785935278839186
Regressão Logística,0.09941045113502998,0.2555365003697998,0.577853661853037
Regressão Logística,0.10009087546408135,0.256912349375216,0.5771098922906358
Regressão Logística,0.10078043300560323,0.2582429826856185,0.5763792069202145
Regressão Logística,0.10153392303441851,0.2597835460085845,0.5755967125116358
Regressão Logística,0.10221891396970513,0.2613047311765447,0.5748505501393817
Regressão Logística,0.10295870417981469,0.2625675409444267,0.5741723848278169
Regressão Logística,0.10366196154004229,0.2638981742548292,0.5735095380924455
Regressão Logística,0.10437435211274038,0.26506732294018287,0.5728098912826918
Regressão Logística,0.1050502098355565,0.2664883876406127,0.5720925822898651
Regressão Logística,0.10584023271425375,0.2679288304960485,0.571276325343487
Regressão Logística,0.10651609043706989,0.26920455903393437,0.57059699587932
Regressão Logística,0.10723304761600322,0.2705481111143408,0.5698740169339921
Regressão Logística,0.1079865376448185,0.27197886489227363,0.5691356874040878
Regressão Logística,0.10870806142998708,0.2735258876002416,0.5683424112621698
Regressão Logística,0.1094341518213909,0.27499216799568516,0.5675530620894893
Regressão Logística,0.11022874130632337,0.27635186853859645,0.5668669782327065
Regressão Logística,0.1109959311538444,0.2775048687614452,0.5662003373397972
Regressão Logística,0.11176312100136541,0.27889363653686533,0.5655163776352997
Regressão Logística,0.11250747781771021,0.2801047712247317,0.564872846590343
Regressão Logística,0.11324270142158452,0.28132882468260195,0.5641867898939207
Regressão Logística,0.11400532466287029,0.2828112535405504,0.5635048661120257
Regressão Logística,0.11477708111662656,0.28419356193096856,0.5627837091109922
Regressão Logística,0.11551230472050086,0.2855726406288857,0.562064192674978
Regressão Logística,0.1162292618994342,0.28702600225432534,0.5613560203818447
Regressão Logística,0.11697361871577899,0.2882339072496908,0.5607349606574934
Regressão Logística,0.11776364159447623,0.2895742296375962,0.5600315497668856
Regressão Logística,0.11845776574223335,0.2908273503279753,0.5593847849440717
Regressão Logística,0.11918385613363716,0.29213537579087095,0.5587244041570659
Regressão Logística,0.1199738790123344,0.29342725279126175,0.5580649380732662
Regressão Logística,0.12069083619126773,0.29471912979165255,0.5574018055468141
Regressão Logística,0.12139866015773058,0.29613696479958146,0.5566723506261341
Regressão Logística,0.12210648412419342,0.2974062339524654,0.5560584268965877
Regressão Logística,0.12281887469689151,0.29870457033785813,0.5554259727656841
Regressão Logística,0.12357693133194204,0.299986758260746,0.5547575786781075
Regressão Logística,0.12433955457322782,0.30122696018112116,0.5541599224035115
Regressão Logística,0.12504737853969067,0.3024833105640012,0.5535317815018602
Regressão Logística,0.12574150268744777,0.3038268626444076,0.5528621262502839
Regressão Logística,0.12643106022896963,0.3053318993498629,0.5521622514157372
Regressão Logística,0.12717998365154967,0.30674004528028886,0.5514455010956517
Regressão Logística,0.12789237422424776,0.30798993627816695,0.5508221940056143
Regressão Logística,0.12857279855329914,0.3093787040535871,0.5501770610941736
Regressão Logística,0.12932172197587918,0.3106608919764749,0.5495179420268633
