model,recall,precision,threshold
Regressão Logística,0.9340367603600461,0.6223621972686932,0.21692656190507584
Regressão Logística,0.9333423764723361,0.6226082984852108,0.21759024734314664
Regressão Logística,0.9327610318221602,0.6229317964656933,0.21818295488504338
Regressão Logística,0.9319988243919296,0.6231310732023321,0.21882212850015106
Regressão Logística,0.9313625749692371,0.62341646273445,0.2194535480732632
Regressão Logística,0.930690798929034,0.6236759976279418,0.22005342399685457
Regressão Logística,0.9300674682763455,0.6239726813963516,0.2206459179406175
Regressão Logística,0.9293827734661383,0.6242288302515466,0.22125984247033556
Regressão Logística,0.9287723615834537,0.6245382304970931,0.22187351737410313
Regressão Logística,0.9280941261582485,0.6247986102202732,0.2224913839743401
Regressão Logística,0.9274804845830629,0.6251004020435217,0.22310811356117705
Regressão Logística,0.9268410054678694,0.6253881776082811,0.223730932141942
Regressão Logística,0.9261692294276662,0.6256547986569128,0.22431286442956327
Regressão Logística,0.9255620472374825,0.6259698219371975,0.22493037345283493
Regressão Logística,0.9249096493522851,0.6262522223461415,0.22554855847814695
Regressão Logística,0.924241103004583,0.6265257018502179,0.22615329017082889
Regressão Logística,0.9236274614293973,0.6268343310048243,0.22678935768696318
Regressão Logística,0.9229169290791823,0.6270750905743434,0.22739988855420623
Regressão Logística,0.9223194359665017,0.6273974348271211,0.2280087152746045
Regressão Logística,0.9216121333087877,0.6276429845572499,0.2286304282976161
Regressão Logística,0.9209274384985805,0.6279031359483486,0.22921449602179136
Regressão Logística,0.9202362843033715,0.6281636360429638,0.22982172784035174
Regressão Logística,0.9195289816456576,0.6284109344133844,0.2303881488712059
Regressão Logística,0.9188410571429494,0.6286706781073013,0.23097864888045985
Regressão Logística,0.9181628217177442,0.6289390547153615,0.2316342985710313
Regressão Logística,0.9174296815200225,0.6291731914601436,0.23219520912360303
Regressão Logística,0.9167320679398114,0.6294308744774978,0.23279760078254724
Regressão Logística,0.916105507594622,0.6297352079906046,0.2333973414443294
Regressão Logística,0.9153949752444069,0.6299852634246201,0.23395486212824423
